ID metabolite	FC	log2(FC)	p.ajusted	log p	regulation
Peak870	4.72E-08	-24.336	0.00029554	3.5294	down
Peak869	4.67E-08	-24.353	0.00031167	3.5063	down
Peak515	4.61E-08	-24.371	1.11E-05	4.9559	down
Peak492	4.58E-08	-24.381	2.05E-05	4.6879	down
Peak39	4.52E-08	-24.398	2.79E-05	4.5543	down
Peak881	4.51E-08	-24.402	0.00056136	3.2508	down
Peak852	4.51E-08	-24.403	0.00049938	3.3016	down
Peak887	4.49E-08	-24.407	0.00057987	3.2367	down
Peak568	4.49E-08	-24.408	6.81E-06	5.1667	down
Peak849	4.49E-08	-24.408	0.0068644	2.1634	down
Peak595	4.48E-08	-24.412	6.81E-06	5.1667	down
Peak505	4.42E-08	-24.432	6.81E-06	5.1667	down
Peak606	4.40E-08	-24.438	2.85E-05	4.5444	down
Peak518	4.38E-08	-24.446	6.48E-05	4.1886	down
Peak569	4.32E-08	-24.465	9.91E-05	4.0039	down
Peak906	4.29E-08	-24.474	0.00071748	3.1442	down
Peak460	4.29E-08	-24.475	6.81E-06	5.1667	down
Peak526	4.24E-08	-24.491	6.81E-06	5.1667	down
Peak840	4.24E-08	-24.492	2.11E-05	4.6753	down
Peak907	4.20E-08	-24.504	0.00045724	3.3399	down
Peak396	4.12E-08	-24.534	2.79E-05	4.5543	down
Peak586	4.10E-08	-24.541	6.81E-06	5.1667	down
Peak497	4.09E-08	-24.544	1.54E-05	4.8123	down
Peak934	4.08E-08	-24.549	0.00022614	3.6456	down
Peak886	4.06E-08	-24.552	0.00087559	3.0577	down
Peak454	4.04E-08	-24.561	8.19E-06	5.0868	down
Peak537	4.02E-08	-24.568	6.81E-06	5.1667	down
Peak879	3.99E-08	-24.579	0.00037591	3.4249	down
Peak517	3.92E-08	-24.606	6.81E-06	5.1667	down
Peak885	3.86E-08	-24.628	0.00065298	3.1851	down
Peak576	3.76E-08	-24.665	6.81E-06	5.1667	down
Peak561	3.71E-08	-24.684	5.81E-05	4.2356	down
Peak545	3.66E-08	-24.705	6.81E-06	5.1667	down
Peak520	3.62E-08	-24.719	6.81E-06	5.1667	down
Peak331	3.62E-08	-24.72	1.82E-05	4.7402	down
Peak355	3.62E-08	-24.721	2.10E-05	4.6782	down
Peak884	3.54E-08	-24.753	0.00051198	3.2907	down
Peak559	3.53E-08	-24.755	6.81E-06	5.1667	down
Peak409	3.51E-08	-24.764	2.10E-05	4.6782	down
Peak406	3.48E-08	-24.775	3.75E-05	4.4264	down
Peak554	3.44E-08	-24.794	6.81E-06	5.1667	down
Peak549	3.44E-08	-24.794	4.65E-05	4.3326	down
Peak882	3.40E-08	-24.811	0.00048046	3.3183	down
Peak878	3.37E-08	-24.822	0.0006346	3.1975	down
Peak510	3.36E-08	-24.829	6.81E-06	5.1667	down
Peak535	3.35E-08	-24.83	3.15E-05	4.5016	down
Peak880	3.32E-08	-24.844	0.00063278	3.1987	down
Peak24	3.27E-08	-24.868	1.28E-05	4.8944	down
