ID metabolite	FC	log2(FC)	p.ajusted	logarithme p	regulation
Peak348	635340	19.277	0.0033291	2.4777	up
Peak62	634210	19.275	0.0033291	2.4777	up
Peak59	592230	19.176	0.0033291	2.4777	up
Peak34	591340	19.174	0.003367	2.4728	up
Peak614	588610	19.167	0.0033291	2.4777	up
Peak44	539310	19.041	0.0033291	2.4777	up
Peak42	521780	18.993	0.0033291	2.4777	up
Peak13	520320	18.989	0.0043567	2.3608	up
Peak634	499710	18.931	0.0033291	2.4777	up
Peak710	495870	18.92	0.0033291	2.4777	up
Peak706	465700	18.829	0.0033291	2.4777	up
Peak138	449910	18.779	0.0033291	2.4777	up
Peak250	443090	18.757	0.0033291	2.4777	up
Peak279	424710	18.696	0.0033291	2.4777	up
Peak622	408930	18.641	0.0033291	2.4777	up
Peak45	406100	18.631	0.0033291	2.4777	up
Peak185	385890	18.558	0.0033291	2.4777	up
Peak707	381620	18.542	0.0033291	2.4777	up
Peak143	366800	18.485	0.0035255	2.4528	up
Peak589	365340	18.479	0.0033291	2.4777	up
Peak768	357810	18.449	0.0033291	2.4777	up
Peak51	344440	18.394	0.0033291	2.4777	up
