molecule	log2FC	p	p_FDR	Regulation
62	-39.873878075424166	0.05250493838645034		Not significant
63	-38.59388553623995	0.028340978641207028		Down
64	36.97330574650098	0.3739009663000589		Not significant
65	-35.3015256471765	0.186384274492954		Not significant
66	-39.20319825969766	0.09945628329172727		Not significant
67	0.0			Not significant
68	0.0			Not significant
69	-40.410204221972016	0.09052530736564816		Not significant
70	-7.406364063184399	0.11711029972834547		Not significant
71	36.643385457394736	0.373900966300059		Not significant
72	36.81339565334661	0.24309258419480106		Not significant
73	-43.631431386423046	0.05987652875178654		Not significant
74	0.0			Not significant
75	-0.5440622659593459	0.2068703096583214		Not significant
76	0.0			Not significant
77	-1.0510027814536926	0.046756277798333086		Down
78	-2.574607228582609	0.0451074181986767		Down
79	-7.789364957729341	0.07784051921368959		Not significant
80	-0.08726283910321006	0.9590452499226101		Not significant
81	-4.212890892891719	0.10962763292314025		Not significant
82	-36.69927896665054	0.09925409944814335		Not significant
83	-36.45689677378369	0.0768875555651312		Not significant
84	-40.22197490425859	0.020850921449355807		Down
85	38.0237889451102	0.22391738680732784		Not significant
86	-43.68893548374972	0.00519005096110788		Down
87	0.0			Not significant
88	0.0			Not significant
89	-40.127043966876016	0.014098080969021985		Down
90	0.0			Not significant
91	0.0			Not significant
92	0.0			Not significant
93	-43.35129361442166	0.008132348028398968		Down
94	-42.401005580746784	0.02718495185067939		Down
95	0.0			Not significant
96	0.0			Not significant
97	38.34783281509483	0.3739009663000589		Not significant
98	0.0			Not significant
99	0.0			Not significant
100	36.98594349134325	0.373900966300059		Not significant
101	-6.2943884561953185	0.02983823227248133		Down
102	-9.752643628314654	0.15167864062822398		Not significant
103	36.28050219248923	0.3739009663000589		Not significant
104	-36.80389439540878	0.12445656756362695		Not significant
105	-39.6070687628621	0.11634596715494719		Not significant
106	39.13148593018108	0.3739009663000589		Not significant
107	0.0			Not significant
108	35.571371258396844	0.373900966300059		Not significant
109	-41.88808026688642	0.006000515194130152		Down
110	-40.621415536296574	0.11346935485404179		Not significant
111	-1.5519853410972904	0.10572079291779636		Not significant
112	-38.26056895620915	0.06093715491695581		Not significant
113	36.274461386947806	0.373900966300059		Not significant
114	-34.788240086748544	0.1253912880796881		Not significant
115	3.4607164130885466	0.24512760586208898		Not significant
116	-39.53067168243196	0.11733610760595907		Not significant
117	36.15003796373556	0.3739009663000589		Not significant
118	-37.66630923313001	0.017220755884511676		Down
119	-1.8827441762859063	0.08565883141533322		Not significant
120	37.347043801233674	0.373900966300059		Not significant
121	-0.20854188534765258	0.9238365283962127		Not significant
122	2.0278463463142424	0.22062338018299749		Not significant
123	-37.39633682541158	0.04564446321719415		Down
124	-39.02778235782313	0.1338436209200876		Not significant
125	36.5708220013458	0.22579455604549373		Not significant
126	-37.9032685006934	0.08357437890302787		Not significant
127	36.66262927117502	0.29786272113616424		Not significant
128	-1.9996260595614566	0.1931271533417591		Not significant
129	37.254120839958645	0.373900966300059		Not significant
130	36.35430188056097	0.06740901960111546		Not significant
131	37.127648492666964	0.0034099140287630223		Up
132	-0.5509409162669694	0.4663143205395031		Not significant
133	37.56203543064782	0.373900966300059		Not significant
134	-1.7554934901807937	0.1773763312725136		Not significant
135	-0.70906579418936	0.4718111443376271		Not significant
136	-32.65450386035046	0.3739009663000589		Not significant
137	-42.09503529609999	0.053579693096697606		Not significant
138	-39.53421228001891	0.07324800334237905		Not significant
139	-40.19208115392947	0.08635661838163755		Not significant
140	-38.73437725176552	0.12521732974177455		Not significant
141	-1.6984628618251496	0.058083089504678644		Not significant
142	36.80307470191841	0.004274498540018112		Up
143	-39.42741646072281	0.11640390017352023		Not significant
144	36.38047968065549	0.11904717733730195		Not significant
145	34.886617069722156	0.36708970254457485		Not significant
146	-32.73048778512138	0.373900966300059		Not significant
147	-36.62927051885411	0.14501005724570146		Not significant
148	36.30934395430048	0.373900966300059		Not significant
149	37.02049066071367	0.373900966300059		Not significant
150	0.0			Not significant
151	-0.6137512125185675	0.5495236576510449		Not significant
152	4.357022903253291	0.16111757350296294		Not significant
153	-35.584939708986326	0.1227418009679744		Not significant
154	-43.97274443130005	0.08457454069899811		Not significant
155	-44.837004008434796	0.08064547438454343		Not significant
156	36.051874969292875	0.373900966300059		Not significant
157	37.50468883986647	0.373900966300059		Not significant
158	36.294551600732255	0.373900966300059		Not significant
159	-41.53378751926132	0.09465816008404303		Not significant
160	-0.16592013636582306	0.8937261237832959		Not significant
161	0.0			Not significant
162	0.0			Not significant
163	-1.1100207585038993	0.16999400488935631		Not significant
164	0.0			Not significant
165	-1.4650762667921002	0.11173924636393591		Not significant
166	36.11345780312333	0.373900966300059		Not significant
167	-37.95888894237902	0.1163646492366164		Not significant
168	0.0			Not significant
169	0.0			Not significant
170	0.0			Not significant
171	-41.72602524983412	0.06757205477392428		Not significant
172	38.07811553474328	0.373900966300059		Not significant
173	38.61021593972397	0.23232758186482647		Not significant
174	-38.776038018362215	0.2806983119920064		Not significant
175	35.986942879380756	0.373900966300059		Not significant
176	-37.82940499310443	0.1515870471793413		Not significant
177	-39.38523575276533	0.12904730816632515		Not significant
178	-0.586265554035273	0.6156402011235167		Not significant
179	-37.81055861057753	0.15954220071304612		Not significant
180	-38.382872219860644	0.12648170421200702		Not significant
181	-32.83270416004212	0.1339617863725044		Not significant
182	34.58722903310562	0.373900966300059		Not significant
183	38.94782162896819	0.373900966300059		Not significant
184	-36.67775892389571	0.011575910602741513		Down
185	-38.68557265172758	0.001347965663400362		Down
186	39.91608062602851	0.3739009663000589		Not significant
187	-34.76010007744558	0.1480181519074786		Not significant
188	-4.159275775188936	0.2910119591828573		Not significant
189	37.587670977362876	0.2967596057707302		Not significant
190	0.0			Not significant
191	0.0			Not significant
192	0.0			Not significant
193	0.0			Not significant
194	0.0			Not significant
195	-36.99755191453506	0.12849869118043977		Not significant
196	-36.81152822945899	0.22308608130299		Not significant
197	-37.484282357912925	0.11407495209039507		Not significant
198	-38.765627234817416	0.12386664199947198		Not significant
199	-34.13193145249055	0.2247601021709576		Not significant
200	-35.681250089958276	0.12918970707631808		Not significant
201	35.69439212533132	0.373900966300059		Not significant
202	-38.08851948298114	0.029131287567514104		Down
203	-43.12183592420966	0.09018065783068242		Not significant
204	-35.62449485989474	0.14976996348660815		Not significant
205	-36.85279744739361	0.11739596975282215		Not significant
206	-36.58190601661455	0.14664381360572556		Not significant
207	-36.13116749710645	0.19822889720808656		Not significant
208	38.02353693366999	0.3739009663000589		Not significant
209	-2.7711886652706603	0.08284741263694301		Not significant
210	-37.189359121072684	0.08929530870777762		Not significant
211	-37.6449452161872	0.13898489292783883		Not significant
212	-37.43896740393423	0.005963513618522503		Down
213	0.0			Not significant
214	-38.48830784214397	0.15706336470203844		Not significant
215	-36.43451481422259	0.18160066673111935		Not significant
216	0.0			Not significant
217	0.0			Not significant
218	35.133785645880316	0.373900966300059		Not significant
219	35.286123417077334	0.373900966300059		Not significant
220	38.697617742100185	0.3739009663000589		Not significant
