molecule	log2FC	p	p_FDR	Regulation
519	38.86565790100687	0.2021458116630952		Not significant
520	39.76045798626076	0.004960495447888869		Up
521	39.0005826036868	0.015491586787352823		Up
522	0.0			Not significant
523	0.0			Not significant
524	0.0			Not significant
525	0.0			Not significant
526	39.585247102853984	0.02869595801815977		Up
527	39.10769812402337	0.005013679215465436		Up
528	38.84478602274789	0.00043448898941924046		Up
529	-37.206760922950075	0.014608565335112109		Down
530	38.487029356513304	0.23695094351802096		Not significant
531	-38.016065983650364	0.058045260967993645		Not significant
532	-43.48402001788084	0.14876119710535696		Not significant
533	39.034280055569425	0.009603181240253788		Up
534	39.423839866843814	0.21888134383304556		Not significant
535	40.07084572575742	0.08832243163922816		Not significant
536	39.97732589812042	0.02527545444536218		Up
537	39.580295509074226	0.002258625437725677		Up
538	-43.5102810835935	0.10987153911134813		Not significant
539	-41.237585536508874	0.10772215309365259		Not significant
540	0.0			Not significant
541	0.0			Not significant
542	34.804678340613634	0.29689290695128195		Not significant
543	38.47013762517102	0.01021116051511055		Up
544	40.237933789302986	0.029131867230114714		Up
545	39.675230374992374	0.00047007822109708364		Up
546	-4.125393978560129	0.0646910269816973		Not significant
547	-38.77282737530347	0.09749369257539323		Not significant
548	-38.6503746599245	0.209441934744566		Not significant
549	40.03711501886488	0.11411076841513075		Not significant
550	-39.04816506358233	0.2538567475475613		Not significant
551	39.57181353497356	0.3116400543189896		Not significant
552	-38.41216582363207	0.05043655687544706		Not significant
553	40.445643814619054	0.03095381099875939		Up
554	39.778694445719914	0.0007352470276144738		Up
555	-4.5222788600861525	0.1173133112264041		Not significant
556	-37.21134306354181	0.24062648569192813		Not significant
557	39.47304477009124	0.3174593488626414		Not significant
558	40.525716873019896	0.032394684738513306		Up
559	39.876942555288075	0.02475358885505131		Up
560	39.97690563754926	0.005650241203906864		Up
561	39.92943940387963	0.126974614150397		Not significant
562	-38.02999775834819	0.07169026976990671		Not significant
563	-39.87640343827815	0.27461427302062236		Not significant
564	39.110350923670886	0.373900966300059		Not significant
565	-3.624255345330155	0.10231182269352065		Not significant
566	40.51335690249284	0.03470869866485474		Up
567	39.981208030871535	0.002899866138107965		Up
568	39.44952024439759	0.0034837762125129027		Up
569	39.72081783092382	0.14656346052813382		Not significant
570	38.86281132208682	0.23074977631121188		Not significant
571	-3.968070574123146	0.04204947962906411		Down
572	39.12772577194732	0.11647472213557324		Not significant
573	0.0			Not significant
574	0.0			Not significant
575	40.38824424726466	0.05169326170126386		Not significant
576	39.78139782517624	0.018264647659544594		Up
577	39.327947967545946	0.006920532844765279		Up
578	-7.51031087897628	0.1290195341499213		Not significant
579	-4.178651937069937	0.007464194419852338		Down
580	37.64866459034968	0.373900966300059		Not significant
581	39.15374626957809	0.013294784643861498		Up
582	-38.7029660304985	0.1984245271331035		Not significant
583	-4.2500956222957935	0.08240423019655031		Not significant
584	38.661528112782484	0.25415452535797617		Not significant
585	40.24100521339339	0.07705421250473231		Not significant
586	39.559821083590435	0.0022766440422631335		Up
587	-38.4393186243494	0.11079036253378521		Not significant
588	-38.27467933527879	0.3012455034724168		Not significant
589	-39.18396177190361	0.03981756060212855		Down
590	37.622664732139974	0.373900966300059		Not significant
591	37.0383431140685	0.3739009663000589		Not significant
592	37.76985106062892	0.24385183287079054		Not significant
593	40.0996647792716	0.09684151261231119		Not significant
594	39.38343667430146	0.09347356559041153		Not significant
595	39.49798954543859	0.009411966711571903		Up
596	36.907960407791045	0.034526300189732434		Up
597	-4.578059355129727	0.1836979166728817		Not significant
598	39.212966057592816	0.05461171736193011		Not significant
599	39.43896328710352	0.12557915356024799		Not significant
600	38.97204603985418	0.08777606767501359		Not significant
601	39.23759186454345	0.07328976388550729		Not significant
602	-3.4384873329469774	0.2163092839727578		Not significant
603	38.92791005066212	0.029497797650043976		Up
604	-38.21634775529364	0.03618010194938363		Down
605	38.54156123476686	0.052326303804321725		Not significant
606	39.59679139559543	0.1482360833545387		Not significant
